客戶代號	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
AAA001	緯霖-001AAA	03-8336636	03-8310680		
AAB002	和成-總公司002AAB	02-26792294#265	02-86776926(王s)	02-26787232	
AAB002-S00	和成-石牌(合矩建設)	沖帳用勿刪			
AAB002-01	和成-曜增店002-01AAB	02-2585-3498	02-25851303		
AAB002-02	和成-文化店(仙意)002-02AAB	02-22510078	02-29513939		
AAB002-03	和成-忠誠店002-03AAB		02-28381025		
AAB002-04	千足萬兩(和成-林口店)002-04AAB	03-3287256	03-3288137		
AAB002-60	富堡晶壐(千足萬兩)AAB	沖帳用勿刪			
AAB002-61	富堡晶林(千足萬兩)AAB	扶其			
AAB002-62	富堡仁愛(千足萬兩)	沖帳用勿刪			
AAB002-63	富堡仁愛(千足萬兩)	沖帳用勿刪			
AAB002-65	彩虹魚((千足萬兩))	沖帳用勿刪			
AAB002-66	富堡菁英匯(千足萬兩))	沖帳用勿刪			
AAB002-05	和成-承德(巨量)002-05AAB	02-25581658	02-25585988		
AAB002-06	和成-重慶店(弘翼)002-06AAB	02-29529876	02-29543095		
AAB002-07	和成-河南002-07AAB	04-22548868	04-22548298		
AAB002-08	喬新-和成竹北店002-08AAB	03-6585169	03-6580869	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
AAA001	緯霖-001AAA	03-8336636	03-8310680		 
AAB002	和成-總公司002AAB	02-26792294#265	02-86776926(王s)	02-26787232	
AAB002-S00	和成-石牌(合矩建設)	沖帳用勿刪			
AAB002-01	和成-曜增店002-01AAB	02-2585-3498	02-25851303		
AAB002-02	和成-文化店(仙意)002-02AAB	02-22510078	02-29513939		
AAB002-03	和成-忠誠店002-03AAB		02-28381025		
AAB002-04	千足萬兩(和成-林口店)002-04AAB	03-3287256	03-3288137		
AAB002-60	富堡晶壐(千足萬兩)AAB	沖帳用勿刪			
AAB002-61	富堡晶林(千足萬兩)AAB	扶其			
AAB002-62	富堡仁愛(千足萬兩)	沖帳用勿刪			
AAB002-63	富堡仁愛(千足萬兩)	沖帳用勿刪			
AAB002-65	彩虹魚((千足萬兩))	沖帳用勿刪			
AAB002-66	富堡菁英匯(千足萬兩))	沖帳用勿刪			
AAB002-05	和成-承德(巨量)002-05AAB	02-25581658	02-25585988		
AAB002-06	和成-重慶店(弘翼)002-06AAB	02-29529876	02-29543095		
AAB002-07	和成-河南002-07AAB	04-22548868	04-22548298		
AAB002-08	喬新-和成竹北店002-08AAB	03-6585169	03-6580869		
AAB002-09	和成-忠明002-09AAB	04-22080513	04-22081103		
AAB-002-10	和成-龍潭旗艦店-(美居)AAB	03-4700859	03-4700559		
AAB-002-11	和成-民族店002-11AAB	02-25853498	02-25851303		
AAB-002-12	和成-信義店AAB	02-27584366	02-27580229		
AAB-002-13	和成-新豐店AAB	03-6960062	03-6960476		
AAB-002-14	珺祿室內裝修工程行(和成生活館)	03-4911106	03-4911105		10608265
AAB002-016	業主維修-和成客戶				
AAB002-17	寶隆室內工藝AAB002-17	02-26792294#265	02-86776926(王s)	02-26787232	
AAC003	合祥-003AAC	02-27410008	02-27710066		
AAD004	雍華十上-004AAD	02-27006321	02-27006331	回簽需問發票	
AAD004-001	雍華十上(大同區南京東路227號/11F)	為了沖帳勿刪			
AAD004-001-01	雍華十上(大同區南京東路227號/9F)	為了沖帳勿刪			
