缺貨石材	期貨石材	停產石材	售完為止	問題色	備註
YP	2CG860	106-03	312-09	CS-601	色差
YP	2CG863	2CN716	312-18A	QJ-3L120	
DT-238	2CK880	2CN718	312-18RA	JH-3001	很難顧的白
	2CK881	303-10	CS-541	JH-1005	櫻花蝦較多
	2CK882	306-05	CS-628	CS-545	色差
	2CP820	312-05	DT-8201		
	2CP820	312-07	DT-8211		
	2CP828	312-17	CS-008		
	CG952	603-04	MS023D12		
	CN712	606-04	MN032D12		
	CP213	612-05	MN028D12B		
	CP217	CG956	MS030D12		
	CP218	CG958	612-13W		
	CP219	CL-802	CS-562		
	CP315	CN716	CS-509		
	CP712	CN718	CS-626		
	CS-006	CS-001			
	CS-007	CS-002			
	CS-010	CS-003			
	CS-013	CS-004			
	CS-202	CS-101			
	CS-301	CS-103			
	CS-506	CS-203			
	CS-510	CS-204			
	CS-528	CS-301			
	CS-529	CS-302			
	CS-530	CS-502			
	312-24A	DT-610			
	DT-2038	MQ-711			
	CS-531	DT-2019			
	CS-534	CS-508			
	CS-538	CS-511			
	CS-549	CS-512			
	CS-550	CS-513			
	CS-603	CS-514			
	CS-615	CS-520			
	CS-622	CS-521			
	CS-630	CS-522			
	CS-631	CS-523			
	CS-632	CS-524			
	CS-687	CS-525			
	CS-706	CS-532			
	CS-710	CS-542			
	CS-711	CS-600			
	CS-712	CS-601A			
	CS-713	CS-604			
	CS-717	CS-605			
	CS-718	CS-607			
	CS-719	CS-608			
	CS-8533	CS-609			
	CS-8535	DT-306			
	CS-8623	CS-610			
	CS-8627	CS-613			
	CS-517	CS-507			
	CS-8687	CS-616			
	DT-304	CS-617			
	DT-609	CS-618			
	DT-8303	CS-619			
	DT-8305	CS-620			
	blue	CS-624			
		CS-628			
	CS-720	CS-633			
	CS-8603	CS-686			
	CS-627	CS-688			
	CS-015	CS-699			
	CS-515	CS-701			
	CS-606	CS-702			
	DT-241	CS-703			
	512-13A	CS-705			
	DT-240	CS-8103			
	CS-551	CS-8203			
	CS-505	CS-8607			
	CS-547	CS-8608			
	CS-548	CS-8617			
	312-12A	DGR-1052			
	DT-210	DT-1002			
	CS-640	DT-1006			
	DT-112	DT-103			
	DT-1011	DT-104			
	DT-1012	DT-201			
	212-05	DT-203			
		DT-207			
		DT-211			
		DT-304			
		DT-8036			
		DT-8102			
		DT-8207			
		DT-8210			
		DT-8304			
		G-5001			
		G-5311			
		CS-536			
		QJ-201W			
		ROO-2203			
		SFL-1102			
		SHS-2404			
		SWH-1103			
		312-16B01			
		CS-501			
		CS-561			
		CS-557			
		306-16B01			
		612-04			
		606-04			
		603-04			
		212-22A			
		512-05A			
		CL-806			
		CS-536			
		CS-614			
		DT-219			
		CS-8614			
		CL-715			
		CL-807			
		CL-713			
